place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,체험 프로그램,화장실,시설이용료,review,주차 요금,규모,접근로,출입통로,장애인 주차 안내,엘리베이터,이용가능시설,이용요금,입장료,수용인원,체험프로그램,관람석,점자 블록,"영유아가족
기타상세",지정현황,주요시설,코스안내,휠체어,시각장애 기타상세,유도안내 설비,유모차,대중 교통,수유실,점자 홍보물,안내 요원,매표소,개장기간,부대시설
팔거산성,"대구팔거산성은 금호강과 대구 시내가 한눈에 내려다 보이는 함지산(287.7m) 정상부에 축조되어 있으며 산 정상을 돌아가며 축조된 테뫼식 산성이다.
함지산은 산의 모양이 함지를 엎어 놓은 것과 비슷하다고 하여 함지산 또는 함지의 방언인 방티산이라고도 불렀기 때문에 팔거산성도 함지산성 또는 방티산성으로 불렀다.
다양한 역사기록을 통해 팔거산성이 위지한 지역의 명칭이 팔리현(삼국), 팔거현(고려), 성주목의 팔거현(조선), 팔거(이칭 칠곡) 등으로 변화하는 것을 확인할 수 있으며 삼국사기 지리지에는 팔거산성의 옛 명칭인 독모성도 기록되어 있다. 현재는 행정구역 이름을 따라 노곡동산성이라고도 한다.
발굴 조사 결과 신라시대 산성에서 주로 나타나는 양식인 현문식 구조, 곡성 등이 신라시대 축성양식의 보편성을 확인할 수 있고 완만한 경사의 성벽, 곡성과 성벽의 접합부 축조방식 등을 통해 해당 산성만의 독특한 축성 양식이 있다는 점에서 가치가 뛰어나다.
성내에 공동묘지와 헬기장, 방공호 등이 들어서 산성의 일부가 훼손되었다. 2015년 함지산 내 인접한 대구 구암동 고분군과 함께 팔거산성의 현황 조사와 유적의 보존 관리 및 정비 활용 방향을 설정하기 위하여 정밀 지표조사를 실시하였다.
등산로를 정비하여 운암지수변 공원에서 출발하는 운암지 만리길도 개설하였으니 함지박을 닮은 산과 운암지의 아름다운 수변공원의 정취를 함께 즐기는 대구 역사문화 밸트로 옛사람들의 삶을 그려보는 것도 잊지 못할 경험으로 남게 될 것이다.",,"▪ http://www.buk.daegu.kr/
▪ http://www.cha.go.kr",대구광역시 북구 노곡동,,,"있음
운암지 수변공원 공영주차
요금
- 최초 30분 : 400원(30분초과시 10분마다 200원)
- 일주차 : 4,000원","구암동고분군, 팔거산성 탐방 : 단체 (10명 이상)
팔거산성탐방안내소 전화예약 (053-325-2344)",,,"운암지쪽에서 올라가면 좀 편안한데, 저는 구암 어린이집 방면으로 올라갔습니다. 단거리라서 선택했는데 좀 힘들었네요. 인근에 고분군이 있다고 했는데, 고분군이나 팔거산성이나 발굴 중이라서 들어가볼 수는 없었습니다. 그냥 함지산 등산 다녀온다는 마음으로 다녀오면 좋을듯 합니다.",,,,,,,,,,,,,,,"국가지정문화재 사적,대구광역시 기념물 제 6호",,,,,,,,,,,,,
큰장길 침구류 명물거리,"큰장길 침구류 명물거리는 서문시장 인근 70여 개 이불, 베개, 수예 제품 취급업체가 밀집된 거리이다. 이곳은 약 30년 전부터 침구류 도소매점이 하나씩 생겨 거리가 형성되었다. 또한 서문시장은 조선 중기부터 형성된 시장으로 전국 3대 장터 중 한 곳이었으며 지금도 그 명맥을 이어받아 대구 제일의 시장으로 자리 잡고 있다. 최근에는 야시장이 개장하여 더 많은 볼거리와 먹거리를 제공하고 있는 시장이다. 대구의 침장 제조업체는 전국의 27%가량 (578개사)으로 OEM을 포함하면 전국에 유통되는 침구 제품의 50~60%가 대구에서 생산되고 있으며, 그 중심에 있는 큰장길 침구류 명물거리는 시민들에게 고품질의 침장 제품을 합리적인 가격에 판매하고 있다. 또한 제품도 전국 각지로 활발히 공급한다. 서문시장과 대구근대화거리, 동성로 등 문화·쇼핑거리와도 밀접한 위치에 있어 편리하게 접근할 수 있는 곳이다.",,http://dgbedding.com,대구광역시 서구 큰장로 35 (내당동),※ 점포별 상이하므로 홈페이지 참고,※ 점포별 상이하므로 홈페이지 참고,"가능
요금 (무료)",,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양천서원,"고려시대의 문신이자 서예가인 홍관 (洪灌,?~1126년)과 홍언박 (洪彦博, 1309~1363년), 조선 중기의 문신 홍위 (洪瑋, 1559~?)를 배향하고 있으며, 남양 홍씨 문중에서 소유와 관리를 맡고 있다. 1786년(정조 10)에 창건하여 남양 홍씨 후손들이 제사를 담당하여 오다가 1868 년( 고종 5) 흥선대원군의 서원철폐령으로 훼철되었다. 이후 1926년 이 지역에 오랫동안 세거해 온 남양 홍씨 후손들에 의하여 복설 되었다.

(출처 : 군위군 문화관광)",,https://www.gunwi.go.kr,대구광역시 군위군 군위읍 내외량길 243-55,상시 개방,연중무휴,"가능
요금 (무료)",,있음,,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,
달성 한일우호관,"김충선(사야가) 장군을 모시고 있는 녹동서원 옆에 자리한 한, 일 화합의 공간으로 청소년들을 위한 살아있는 역사 공부와 체험 학습장으로 좋은 곳이다. 한, 일 교류 역사를 볼 수 있는 전시관을 비롯해 3D 영상실, 예절교실은 한일우호관을 찾는 국내 관광객과 일본인 관광객을 위한 한, 일 문화교류와 화합의 장으로 활용되고 있다. 이외에도 일본식 정원, 전통놀이 등 다양한 볼거리를 제공하고 있다",,http://www.dskjfriend.kr/,대구광역시 달성군 가창면 우록길 206,09:00~18:00(11월~2월 09:00~17:00),월요일 / 1월 1일 / 설 / 추석 당일,가능,,장애인 전용 화장실 있음(1층),,,무료,부지 4198㎡(지상 2층),출입구까지 단차가 없어 휠체어 접근 가능함,주출입구는 단차가 없어 휠체어 접근 가능함,,,,무료,,,"[정기 체험] (첫 번째, 세 번째 주 일요일)]
의상(한복, 유카타) 체험 / 예절수업
[상시 체험]
3D 동영상 / 전자방명록",,점자블록 있음(정문 및 계단)_시각장애인 편의시설,,,,,,,,,,,,,,,
청호서원,"이 서원은 조선조 대학자였던 모당(募堂) 손처눌(孫處訥)(1553~1634), 사월당 류시번(柳時藩), 양계(暘溪) 정호인(鄭好仁), 모당의 6대 조인 격재(格齋) 손조서(孫肇瑞) 네 분을 추모하기 위해 세운 것이다. 모당 손처눌의 자는 기도(幾道)이며, 한강(寒岡) 정구문하(鄭逑門下)에서 사사(師事)하여 학행과 효우로 스승에게 인정받았으며, 임진왜란과 정유재란 때 의병대장으로 활동하였다.

난리(亂離) 중 부모상(父母喪)을 당하였으며, 이를 옳게 못 모신 것을 한탄하면서 임진왜란이 평정되자 종신여모(終身廬慕)한다는 뜻에서 자기 거처를 영모당(永慕堂)이라 하였다. 난(難) 후 그는 후진 양성에 전념하여 영모당은 언제나 문전성시(門前盛市)를 이루었고 '영모당통강제자록(永慕堂通講諸子錄)'에는 제자 202명의 명단이 적혀 있어 당시의 규모를 짐작하게 한다.

마을 앞에 청호지(靑湖池)를 만들어 영농에도 힘썼으며, 조정에서의 논공행상도 사양하였으며 다만 대구향교의 최고 책임자인 도유사(都有司)를 12년간 맡았다. 손조서는 조선 초기의 문신으로 대과에 급제하여 집현전 한림학사로서 필재(畢齋)와 도의지교(道義之交)를 맺고 단종 때 봉산군수(鳳山郡守)로 있다가 단종의 참사 소식을 듣고 불사이군(不事二君)이라 하여 벼슬을 버리고 고향(밀양)으로 내려가 후학 교육에 전념하였다.

청호서원 역시 1864년 서원 철폐령으로 훼철되었으며 1947년경 강당만 세웠다가 1968년 화재로 소실되었으며, 현재의 건물은 1969년 강당과 위패를 모신 상인사(尙仁祠)를 중건한 것이다. 서원 입구에 모당선생 유허비(遺墟碑)도 세웠다.

(출처 : 행복수성 문화관광)",,https://www.suseong.kr/tour,대구광역시 수성구 청호로 250-11,상시 개방,연중무휴,불가능,,없음,,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,
오천서원,"오천서원(梧川書院)은 1744년(영조 20)에 양희지(楊凞止)[1439~1504]를 기리기 위하여 창건된 서원이다. 오천서원에 배향된 양희지는 본관은 중화(中和), 자는 가행(可行), 호는 대봉(大峰)이다. 연산군 즉위 후 직제학과 부승지를 거쳐 1500년에 부총관을 거쳐 대사헌에 올랐다. 1502년 동지중추부사(中樞府使)가 되고, 겸세자우부빈객, 동지성균사와 한성부우윤(漢城府右尹)을 역임하였다. 저서로 『대봉집』이 있다. 오천서원은 파동 끝자락 골짜기 안 야산의 남쪽 사면에 좌묘우학(左廟右學)[사당이 동쪽 강당이 서쪽] 형태로 배치되어 있다. 이는 땅의 형편을 고려한 배치이다. 서원을 마주 보고 섰을 때 좌측이 강당 영역이며 우측이 사당 영역이다. 강당과 사당은 각각 흙돌담으로 경계를 이루며 사당 영역이 강당 영역보다는 지대가 한 단 정도 더 높다. 출입문은 남쪽으로 각각 1개씩 있으며, 별도로 강당과 사당의 경계 담에 두 영역을 직접 잇는 작은 문을 두고 있다.",,https://www.suseong.kr/index.do,대구광역시 수성구 파동로2안길 20 (파동),상시 개방,연중무휴,"가능
요금 (무료)",,,,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,
"아양아트센터(구, 동구문화체육회관)","아양아트센터는 대구 동구에 위치한 문화예술 공간으로 팔공산의 웅장한 이미지를 형상화한 아름다운 건축물을 볼 수 있다. 1,165석의 공연장, 전시실, 5개의 문화강좌실이 있고, 체육시설로는 수영장, 헬스장, 체육관을 갖추고 있다. 또한 200석 규모의 예식장, 폐백실, 대기실, 다용도실, 식당과 400석의 야외공연장 등 다목적으로 이용할 수 있는 시설을 갖추고 있다. 지역의 특성과 지역민의 욕구를 반영하여 지속 가능한 문화예술 정책과 프로그램을 개발하기 위해 노력하고 있으며, 특히 예술인들의 창작 활동을 지원하고 새로운 도약의 기회를 열어주고 있다.",,http://www.ayangarts.or.kr,대구광역시 동구 효동로2길 24 (효목동),"평일 06:00~22:00
토요일 09:00~18:00",매주 일요일 / 공휴일,"가능
요금 (무료)",,장애인 화장실 있음,,"클림트전 보러 갔었어요. 래플리카지만 여러 작품들을 해설 들으면서 감상하니 더 와닿더라고요. 그림, 섬유향수 체험도 같이 할 수 있어서 더 좋았어요. 벚꽃필때 정말 예뻤었어요 공연도 보고 산책하기도 좋고 맛집들도 있어 배도 채우고.. 어디 움직이지 않아도 근처에서 하루 시간보낼수있어요 대극장이라 큰 공연 보기 좋아요. 매달 막주 수요일에 클래식 공연 무료 관람 가능하고 딤프 때도 대학생 공연 대극장극을 올립니다. 콘서트도 주기적으로 개최됨",,,"문화동 1층에서 이동가능함(문화센터,체육세넡,야외놀이마당,식당,매점)
문화동 2,3층에서 이동가능함(엘리베이터 이용/공연장,전시장,하늘공원,야외놀이마당,웨딩홀,다목적홀)",주 출입구는 턱이 없어 휠체어 접근 가능함,"장애인 주차장 있음(6대,G주차장)_무장애 편의시설",장애인용 엘리베이터 있음,,※ 시설별 상이하므로 홈페이지 참고,,"아양홀 기준 1,165명",,휠체어석 있음,,,,,,대여 가능,,문화동 입구(장애인주차장 옆 화단)에 장애인도우미벨 있음,,,,,,,,
대백프라자갤러리,"1971년 5월 대구백화점 본점 4층에 대구에서는 최초의 상업화랑으로 개관한 ‘대백갤러리’는 70년대 한국미술과 대구미술사에 있어 중요한 미술전람회를 유치 개최하고 대구미술문화의 중추적 역할을 수행해 왔다. 1993년 대백플라자점 개점과 함께 단일 전시공간으로는 대구 최대규모를 자랑하며 1993년 9월 15일에 개관했으며, 2004년 1월 새롭게 단장하여 재개관을 한 ‘대백플라자갤러리’는 지역 내 수준급 전문갤러리서, 기업이윤을 사회환원 취지로 백화점 고객 및 지역 주민들의 문화생활의 질을 높이고 예술과 근접할 수 있는 기회를 제공하는 고품격 문화공간이다.",,대백프라자갤러리 http://www.debec.co.kr/contents/main/main.do,대구광역시 중구 명덕로 333 (대봉동),"월요일~목요일 10:30~20:00
금요일~일요일 10:30~20:30",연중무휴,가능,,장애인 전용 화장실 있음,,,,,"이동경로 폭이 넓어 휠체어 사용자 손쉽게 이용 가능
내부 턱 없음.","출입통로 형태 : 센서식 자동문
출입통로가 넓어 휠체어, 전동 스쿠터 진입 쉬움.","해당 문화시설 건물 내 지하주차장 있음.
장애인 전용 주차구역 있음.
주변 휠체어 이용자 등이 이용할 수 있는 여유공간 있음.",엘리베이터 있음,,무료,,,,,,,,,,,,,유모차 대여 가능함(백화점 지하 1층),"대중교통 이용 가능 : 대백프라자앞 정류장
저상버스 운행 : 모든버스
지하철역 엘리베이터 : 대봉교역 1,4번 출구 사이. 대구 3호선.",,,,,,
봉산문화회관,2004년 10월 5일 개관한 봉산문화회관은 도심 재창조의 가치를 문화예술에게 발견할 수 있도록 다양한 기획을 통하여 변화와 성장을 모색하고 있는 곳으로 시민이 자랑하고 싶은 예술 명소가 되도록 힘쓰고 있다. 공간을 구성하는 가장 중요한 요소는 작품과 관객임을 기억하고 작품을 돋보이게 할 수 있는 가장 중요한 요소인 공간을 성장시키고 있다. 전시실과 공연장을 변화시키고 다양한 분야의 예술인들이 소통하는 예술 네트워크의 중심이 되고 있으며 매력적인 예술 콘텐츠를 확보하여 시민의 자랑스러운 공간이 되고 도심에 자리 잡은 쉼터가 되고 관객들이 찾는 문화 예술의 기반이 되기 위해 노력하는 공간이다. 상주하는 단체로 중구여성합창단과 창작플레이가 있으며 시민들에게 다양한 강좌를 개설하고 있다.,,https://www.jung.daegu.kr,대구광역시 중구 봉산문화길 77 (봉산동),※ 시설별 상이하므로 홈페이지 참고,매주 월요일 / 설·추석,"가능
요금 (무료)",,장애인 전용 화장실 있음,,,,,,,장애인 전용 주차구역 있음_무장애 편의시설,엘리베이터 있음,,※ 시설별 상이하므로 홈페이지 참고,,,미술실기 / 음악실기 / 신체활동,장애인 전용 관람석 있음(가온홀 5석),점자블록 있음 (엘레베이터 입구)_시각장애인 편의시설,,,,,휠체어 대여가능,,점자손잡이 있음,,,,,,,,
선교사챔니스주택,"대구 중구 동산동 청라언덕에 붉은색 벽돌로 지어진 서양식 2층 건물로 1910년경에 지어진 것으로 보인다. 현재는 의료박물관으로 활용되고 있다. 남북으로 뻗은 긴 네모형으로 1층 내부에는 거실·서재·부엌·식당·계단 등이 있고, 2층에는 2개의 침실이 있다. 외부에는 나무로 된 현관과 베란다를 설치했으며, 지붕에는 2개의 붉은 벽돌로 된 굴뚝이 솟아있다. 당시 우리나라에 거주했던 미국인의 건축·주거·생활양식을 살펴볼 수 있는 건물이다.",,https://www.khs.go.kr/main.html,대구광역시 중구 달구벌대로 2029 (동산동),"상시 개방
※ 내부관람은 현재 운영 중단 상태",연중무휴,불가능,,있음,,,,,,,,,,,무료,,,,,,대구광역시 유형문화유산 선교사챔니스주택 (1989.06.15 지정),,,,,,,,,,,,,
